customer_id,signup_date,home_city,segment,age,household_size,income_band,acquisition_channel,propensity_score
C000024,5/28/2023,Rajshahi,End-User,40,5,Upper-Mid,Facebook,0.536
C000025,9/14/2022,Sylhet,End-User,31,4,Upper-Mid,Referral,0.784
C000026,4/13/2024,Chattogram,End-User,38,3,,Marketplace,0.372
C000027,9/12/2023,Dhaka,Investor,18,4,Upper-Mid,Paid Search,0.751
C000028,3/8/2024,Dhaka,Renter-to-Owner,29,3,Low,Referral,0.496
C000029,4/27/2022,Chattogram,Investor,38,4,,Marketplace,0.755
C000030,5/18/2024,Dhaka,Business Buyer,35,4,Upper-Mid,Facebook,0.699
C000031,8/8/2022,Rajshahi,Business Buyer,29,3,Lower-Mid,Broker Network,0.685
C000032,4/23/2023,Rangpur,Investor,34,3,Low,Marketplace,0.73
C000033,4/14/2023,Chattogram,End-User,37,1,Mid,Broker Network,0.546
C000034,5/24/2024,Chattogram,Business Buyer,34,5,Lower-Mid,Organic,0.617
C000035,10/23/2022,Sylhet,Renter-to-Owner,42,4,Mid,Organic,0.604
C000036,9/14/2022,Dhaka,Renter-to-Owner,37,1,Mid,Paid Search,0.598
C000037,12/29/2022,Mymensingh,Investor,39,5,Lower-Mid,Referral,0.573
C000038,1/20/2023,Chattogram,Investor,49,4,Low,Referral,0.738
C000039,7/13/2022,Dhaka,Renter-to-Owner,41,2,High,Organic,0.723
C000040,7/7/2022,Dhaka,End-User,50,2,Mid,Facebook,0.455
C000041,9/4/2022,Mymensingh,End-User,28,3,Mid,Facebook,0.527
C000042,5/14/2023,Dhaka,Renter-to-Owner,20,2,Lower-Mid,Referral,0.71
C000043,1/2/2023,Rajshahi,End-User,33,3,High,Paid Search,0.632
C000044,2/22/2023,Dhaka,Investor,32,6,Lower-Mid,Paid Search,0.635
C000045,2/6/2024,Dhaka,End-User,47,4,Low,Facebook,0.373
C000046,9/14/2022,Rangpur,Renter-to-Owner,24,6,Lower-Mid,Organic,0.526
C000047,8/27/2024,Dhaka,End-User,33,4,Mid,Referral,0.61
C000048,3/12/2024,Dhaka,Investor,38,4,Lower-Mid,Facebook,0.503
C000049,7/6/2022,Khulna,Business Buyer,35,3,Lower-Mid,Facebook,0.518
C000050,12/1/2022,Rangpur,End-User,32,3,Mid,Broker Network,0.678
C000051,7/15/2022,Chattogram,End-User,37,4,Mid,Organic,0.665
C000052,10/18/2022,Dhaka,Renter-to-Owner,44,5,Low,Organic,0.464
C000053,1/25/2023,Mymensingh,End-User,48,4,Mid,Marketplace,0.449
C000054,5/20/2022,Sylhet,Business Buyer,34,4,Lower-Mid,Broker Network,0.603
C000055,1/16/2022,Rangpur,Renter-to-Owner,27,4,Lower-Mid,Paid Search,0.403
C000056,4/13/2023,Barishal,End-User,48,3,Low,Broker Network,0.394
C000057,1/18/2024,Sylhet,End-User,24,3,High,Facebook,0.647
C000058,11/19/2022,Chattogram,End-User,50,3,Mid,Referral,0.584
C000059,7/6/2024,Chattogram,End-User,46,5,Low,Broker Network,0.399
C000060,1/29/2023,Sylhet,End-User,47,3,Lower-Mid,Organic,0.553
C000061,8/18/2024,Sylhet,End-User,40,4,Low,Referral,0.367
C000062,9/9/2022,Mymensingh,Business Buyer,18,3,Mid,Paid Search,0.747
C000063,7/29/2023,Khulna,End-User,25,5,Mid,Facebook,0.61
C000064,3/24/2024,Dhaka,Renter-to-Owner,37,1,Low,Paid Search,0.616
C000065,3/4/2022,Khulna,End-User,28,4,Upper-Mid,Marketplace,0.634
C000066,9/18/2024,Rajshahi,End-User,31,2,Lower-Mid,Facebook,0.548
C000067,1/25/2023,Chattogram,Investor,40,4,Lower-Mid,Email,0.748
C000068,6/15/2023,Barishal,End-User,32,4,Low,Paid Search,0.385
C000069,11/1/2023,Rajshahi,End-User,23,2,Low,Paid Search,0.273
C000070,11/17/2023,Dhaka,Investor,42,4,Upper-Mid,Broker Network,0.932
C000071,1/26/2022,Khulna,Renter-to-Owner,39,4,Mid,Paid Search,0.629
C000072,7/13/2024,Rajshahi,End-User,32,3,Upper-Mid,Marketplace,0.753
C000073,10/27/2023,Mymensingh,End-User,40,4,Lower-Mid,Referral,0.589
C000074,11/30/2024,Chattogram,Renter-to-Owner,35,4,Lower-Mid,Email,0.624
C000075,5/18/2023,Khulna,End-User,46,5,Lower-Mid,Organic,0.464
C000076,10/17/2023,Chattogram,End-User,35,3,Lower-Mid,Facebook,0.45
C000077,4/16/2023,Khulna,End-User,46,5,Low,Paid Search,0.216
C000078,8/6/2024,Dhaka,Investor,18,4,Low,Marketplace,0.604
C000079,6/6/2024,Rangpur,End-User,38,5,High,Organic,0.857
C000080,8/26/2024,Mymensingh,End-User,30,3,Mid,Broker Network,0.691
C000081,6/22/2023,Khulna,End-User,26,3,Low,Referral,0.422
C000082,4/23/2024,Khulna,End-User,44,2,Mid,Email,0.415
C000083,1/18/2023,Dhaka,Investor,42,4,Lower-Mid,Marketplace,0.597
C000084,5/7/2023,Rajshahi,Business Buyer,18,3,Upper-Mid,Broker Network,0.784
C000085,3/21/2024,Chattogram,End-User,40,6,High,Paid Search,0.733
C000086,3/28/2022,Sylhet,End-User,39,3,Low,Email,0.228
C000087,1/28/2024,Dhaka,Business Buyer,27,3,High,Facebook,0.802
C000088,1/17/2022,Sylhet,End-User,26,4,Low,Referral,0.367
C000089,9/11/2023,Dhaka,End-User,20,5,Lower-Mid,Paid Search,0.566
C000090,5/24/2023,Rajshahi,End-User,31,5,Mid,Broker Network,0.393
C000091,5/15/2023,Rajshahi,Renter-to-Owner,32,5,Mid,Facebook,0.671
C000092,6/11/2023,Dhaka,Investor,41,4,Low,Broker Network,0.597
C000093,6/9/2023,Chattogram,Investor,36,4,Low,Facebook,0.386
C000094,3/11/2023,Rangpur,Business Buyer,24,6,Lower-Mid,Referral,0.794
C000095,4/27/2023,Rajshahi,Investor,36,6,Lower-Mid,Organic,0.818
C000096,8/29/2023,Dhaka,Renter-to-Owner,32,5,Lower-Mid,Organic,0.68
C000097,3/24/2024,Chattogram,End-User,26,5,Low,Marketplace,0.367
C000098,8/12/2023,Chattogram,End-User,20,5,High,Broker Network,0.686
C000099,11/16/2023,Rajshahi,Renter-to-Owner,40,2,,Organic,0.755
C000100,6/10/2024,Rajshahi,Business Buyer,38,4,High,Facebook,0.854
C000101,11/20/2024,Dhaka,Investor,39,6,Low,Broker Network,0.567
C000102,4/26/2022,Rajshahi,End-User,27,5,Low,Facebook,0.281
C000103,1/30/2024,Sylhet,Renter-to-Owner,36,4,Mid,Facebook,0.629
C000104,8/29/2022,Barishal,End-User,22,6,Mid,Email,0.576
C000105,7/29/2022,Dhaka,Renter-to-Owner,25,4,Mid,Organic,0.744
C000106,4/25/2024,Chattogram,End-User,34,5,Low,Referral,0.572
C000107,3/15/2022,Chattogram,Investor,36,4,Upper-Mid,Facebook,0.869
C000108,6/22/2024,Dhaka,Renter-to-Owner,19,4,Mid,Referral,0.598
C000109,4/1/2024,Chattogram,Business Buyer,24,4,Lower-Mid,Paid Search,0.579
C000110,11/26/2024,Dhaka,Investor,31,5,Mid,Organic,0.831
C000111,12/14/2023,Dhaka,Renter-to-Owner,43,6,Low,Marketplace,0.495
C000112,7/19/2024,Rajshahi,End-User,27,3,Lower-Mid,Email,0.539
C000113,5/7/2022,Dhaka,Investor,35,4,High,Marketplace,0.885
C000114,8/6/2024,Sylhet,End-User,,5,Mid,Broker Network,0.541
C000115,6/20/2022,Dhaka,Renter-to-Owner,,4,Low,Organic,0.581
C000116,12/2/2022,Khulna,Investor,36,2,Lower-Mid,Referral,0.76
C000117,5/17/2022,Chattogram,Investor,22,3,Low,Paid Search,0.593
C000118,3/5/2023,Barishal,Renter-to-Owner,28,3,Upper-Mid,Paid Search,0.634
C000119,3/9/2024,Barishal,End-User,47,3,Upper-Mid,Paid Search,0.788
C000120,10/13/2022,Chattogram,Investor,48,3,Mid,Organic,0.82
C000121,5/26/2024,Rajshahi,End-User,42,5,High,Organic,0.753
C000122,10/9/2023,Dhaka,Renter-to-Owner,44,3,,Organic,0.6
C000123,11/2/2023,Rajshahi,End-User,18,5,Upper-Mid,Broker Network,0.649
C000124,9/27/2024,Dhaka,Renter-to-Owner,25,2,Lower-Mid,Marketplace,0.407
C000125,4/6/2023,Chattogram,Investor,31,3,Upper-Mid,Paid Search,0.844
C000126,1/3/2023,Dhaka,End-User,56,4,Upper-Mid,Organic,0.564
C000127,11/26/2024,Rangpur,Renter-to-Owner,31,5,Lower-Mid,Paid Search,0.528
C000128,8/17/2023,Chattogram,End-User,41,5,Low,Broker Network,0.283
C000129,10/18/2023,Rajshahi,Investor,37,3,Low,Paid Search,0.398
C000130,11/12/2022,Chattogram,End-User,37,5,,Referral,0.579
C000131,8/18/2022,Dhaka,End-User,34,2,Lower-Mid,Organic,0.422
C000132,7/1/2022,Dhaka,End-User,23,5,Lower-Mid,Broker Network,0.525
C000133,8/27/2022,Mymensingh,Business Buyer,18,2,Mid,Referral,0.764
C000134,7/28/2022,Barishal,End-User,46,4,Low,Paid Search,0.382
C000135,3/7/2024,Dhaka,End-User,28,5,Upper-Mid,Marketplace,0.56
C000136,3/3/2022,Sylhet,Investor,18,5,Low,Facebook,0.54
C000137,11/2/2023,Chattogram,End-User,38,2,Low,Organic,0.377
C000138,10/8/2024,Dhaka,End-User,38,3,Low,Facebook,0.426
C000139,3/27/2024,Khulna,Business Buyer,41,5,High,Facebook,0.771
C000140,3/6/2023,Dhaka,End-User,44,5,Lower-Mid,Marketplace,0.42
C000141,3/5/2022,Dhaka,Renter-to-Owner,26,4,Low,Paid Search,0.5
C000142,6/8/2024,Sylhet,End-User,26,1,Low,Email,0.34
C000143,1/4/2022,Dhaka,End-User,31,5,Lower-Mid,Broker Network,0.347
C000144,12/28/2023,Rangpur,Business Buyer,41,5,High,Referral,0.825
C000145,12/17/2023,Rajshahi,End-User,18,4,Mid,Organic,0.684
C000146,7/24/2022,Rangpur,Renter-to-Owner,35,4,Lower-Mid,Organic,0.587
C000147,2/28/2024,Rajshahi,Renter-to-Owner,42,4,Lower-Mid,Email,0.563
C000148,7/7/2022,Rangpur,Business Buyer,42,6,Low,Facebook,0.504
C000149,8/29/2022,Chattogram,End-User,40,4,Mid,Marketplace,0.673
C000150,5/15/2024,Khulna,End-User,44,3,Lower-Mid,Facebook,0.264
C000151,11/9/2024,Khulna,End-User,18,4,,Facebook,0.51
C000152,10/10/2022,Rangpur,Business Buyer,49,4,Low,Marketplace,0.492
C000153,9/9/2024,Dhaka,End-User,37,4,Low,Broker Network,0.408
C000154,8/31/2024,Khulna,End-User,46,1,Mid,Paid Search,0.604
C000155,3/31/2024,Barishal,End-User,23,4,Mid,Email,0.626
C000156,5/30/2022,Chattogram,Investor,18,5,Mid,Paid Search,0.723
C000157,11/16/2022,Rangpur,Investor,50,5,Upper-Mid,Facebook,0.665
C000158,12/24/2023,Chattogram,Investor,26,5,Upper-Mid,Paid Search,0.95
C000159,12/1/2024,Dhaka,Investor,31,4,Upper-Mid,Marketplace,0.81
C000160,5/18/2024,Rajshahi,Renter-to-Owner,39,4,Lower-Mid,Marketplace,0.517
C000161,3/25/2023,Chattogram,End-User,41,5,,Email,0.741
C000162,9/8/2022,Dhaka,Investor,44,5,,Facebook,0.689
C000163,10/20/2024,Dhaka,End-User,36,6,Mid,Broker Network,0.683
C000164,10/22/2022,Dhaka,End-User,25,3,Mid,Paid Search,0.515
C000165,12/31/2022,Barishal,End-User,40,3,Low,Paid Search,0.516
C000166,10/25/2024,Rangpur,End-User,41,3,Mid,Broker Network,0.616
C000167,8/22/2023,Khulna,Investor,18,2,Mid,Organic,0.746
C000168,10/10/2022,Dhaka,End-User,47,2,High,Organic,0.934
C000169,1/6/2022,Khulna,Investor,18,4,,Referral,0.778
C000170,4/4/2023,Rangpur,End-User,43,4,High,Broker Network,0.691
C000171,11/17/2024,Sylhet,End-User,28,4,,Paid Search,0.257
C000172,4/7/2023,Dhaka,End-User,40,4,,Referral,0.836
C000173,1/16/2024,Dhaka,Investor,39,2,Mid,Marketplace,0.841
C000174,9/27/2022,Rangpur,End-User,34,3,Mid,Organic,0.631
C000175,4/6/2024,Rangpur,End-User,38,3,Mid,Email,0.586
C000176,4/6/2024,Dhaka,Investor,33,4,High,Facebook,0.95
C000177,10/11/2023,Rangpur,Renter-to-Owner,40,2,Low,Facebook,0.468
C000178,4/2/2024,Dhaka,End-User,54,2,Lower-Mid,Organic,0.457
C000179,9/10/2023,Dhaka,Investor,22,3,Upper-Mid,Paid Search,0.771
C000180,2/8/2023,Barishal,End-User,18,5,Low,Broker Network,0.454
C000181,2/26/2024,Khulna,Investor,30,4,Mid,Facebook,0.76
C000182,6/9/2024,Chattogram,Renter-to-Owner,30,5,Mid,Organic,0.757
C000183,6/15/2024,Rangpur,Investor,31,4,Upper-Mid,Paid Search,0.849
C000184,8/16/2022,Rangpur,End-User,26,4,Upper-Mid,Email,0.694
C000185,12/23/2023,Dhaka,Business Buyer,,4,Lower-Mid,Facebook,0.588
C000186,1/5/2022,Rajshahi,Investor,22,3,Mid,Organic,0.877
C000187,9/2/2023,Barishal,End-User,38,3,Mid,Marketplace,0.59
C000188,9/1/2023,Khulna,End-User,40,2,Mid,Paid Search,0.519
C000189,1/23/2023,Mymensingh,Business Buyer,37,3,Lower-Mid,Broker Network,0.605
C000190,11/25/2024,Sylhet,End-User,38,5,Lower-Mid,Organic,0.536
C000191,7/30/2024,Dhaka,End-User,43,5,Mid,Paid Search,0.549
C000192,2/11/2022,Dhaka,Investor,34,3,Low,Paid Search,0.675
C000193,8/11/2022,Rangpur,End-User,,1,Mid,Email,0.577
C000194,8/10/2022,Mymensingh,End-User,38,5,Low,Broker Network,0.296
C000195,8/14/2024,Dhaka,End-User,39,4,Upper-Mid,Paid Search,0.525
C000196,7/8/2023,Dhaka,Investor,42,2,Upper-Mid,Broker Network,0.841
C000197,2/16/2024,Barishal,End-User,19,1,Mid,Broker Network,0.638
C000198,5/13/2024,Dhaka,End-User,32,2,Upper-Mid,Facebook,0.542
C000199,3/29/2024,Dhaka,End-User,24,3,High,Facebook,0.732
C000200,4/5/2022,Rangpur,Renter-to-Owner,39,2,,Facebook,0.529
C000201,5/30/2022,Barishal,Renter-to-Owner,41,5,,Organic,0.683
C000202,2/26/2023,Rangpur,Business Buyer,32,3,,Broker Network,0.653
C000203,12/27/2022,Rajshahi,End-User,27,4,Upper-Mid,Broker Network,0.569
C000204,3/7/2024,Chattogram,End-User,39,7,Mid,Email,0.592
C000205,6/16/2022,Rangpur,Investor,33,4,Lower-Mid,Broker Network,0.819
C000206,2/1/2023,Dhaka,Business Buyer,47,4,Mid,Broker Network,0.694
C000207,9/10/2022,Dhaka,End-User,50,4,Lower-Mid,Broker Network,0.496
C000208,7/21/2022,Rangpur,End-User,43,5,Upper-Mid,Marketplace,0.63
C000209,7/4/2022,Sylhet,End-User,36,4,Upper-Mid,Referral,0.707
C000210,7/28/2022,Rangpur,Renter-to-Owner,50,2,Low,Email,0.462
C000211,8/25/2023,Dhaka,Renter-to-Owner,36,3,Low,Broker Network,0.476
C000212,3/14/2023,Mymensingh,Renter-to-Owner,,3,High,Paid Search,0.645
C000213,4/10/2023,Rajshahi,End-User,28,3,Low,Facebook,0.386
C000214,5/27/2023,Rajshahi,End-User,28,6,Mid,Broker Network,0.494
C000215,2/29/2024,Mymensingh,Business Buyer,34,5,Mid,Organic,0.76
C000216,7/7/2024,Chattogram,End-User,38,4,Mid,Facebook,0.576
C000217,7/16/2023,Sylhet,End-User,21,5,Low,Organic,0.463
C000218,11/16/2023,Rajshahi,End-User,30,4,Low,Paid Search,0.299
C000219,2/27/2024,Barishal,End-User,36,2,Mid,Facebook,0.545
C000220,1/6/2024,Rangpur,Renter-to-Owner,40,6,Lower-Mid,Paid Search,0.503
C000221,5/24/2022,Sylhet,End-User,34,3,Upper-Mid,Broker Network,0.613
C000222,11/13/2024,Dhaka,Renter-to-Owner,36,1,High,Referral,0.95
C000223,6/25/2022,Dhaka,Renter-to-Owner,23,2,Upper-Mid,Paid Search,0.618
C000224,3/16/2023,Mymensingh,End-User,26,5,Lower-Mid,Organic,0.55
C000225,11/27/2023,Mymensingh,Investor,33,2,Mid,Paid Search,0.862
C000226,3/6/2023,Mymensingh,End-User,39,5,Low,Facebook,0.381
C000227,9/17/2022,Dhaka,End-User,36,4,Mid,Broker Network,0.531
C000228,9/11/2024,Chattogram,End-User,26,5,Lower-Mid,Referral,0.486
C000229,3/18/2022,Barishal,Renter-to-Owner,32,3,Upper-Mid,Organic,0.638
C000230,9/20/2022,Barishal,Investor,48,4,Mid,Facebook,0.727
C000231,11/24/2024,Dhaka,End-User,39,4,Low,Marketplace,0.37
C000232,2/17/2024,Rajshahi,Renter-to-Owner,33,4,Lower-Mid,Marketplace,0.49
C000233,4/3/2022,Dhaka,Business Buyer,,2,Mid,Broker Network,0.824
C000234,3/15/2024,Khulna,End-User,28,4,Upper-Mid,Paid Search,0.617
C000235,10/30/2024,Dhaka,End-User,34,1,Lower-Mid,Organic,0.386
C000236,4/15/2022,Dhaka,End-User,36,5,Mid,Facebook,0.641
C000237,3/18/2023,Dhaka,End-User,39,4,,Paid Search,0.278
C000238,5/15/2023,Mymensingh,End-User,37,4,Upper-Mid,Referral,0.744
C000239,5/20/2022,Sylhet,End-User,31,1,Mid,Organic,0.654
C000240,8/2/2022,Mymensingh,End-User,29,2,Mid,Marketplace,0.527
C000241,7/5/2022,Chattogram,End-User,52,3,Lower-Mid,Broker Network,0.568
C000242,7/17/2022,Chattogram,End-User,29,5,High,Marketplace,0.7
C000243,3/7/2023,Chattogram,End-User,22,2,Mid,Email,0.535
C000244,5/10/2023,Rajshahi,End-User,19,7,Low,Facebook,0.187
C000245,9/11/2022,Chattogram,End-User,31,3,Mid,Referral,0.485
C000246,11/5/2022,Sylhet,End-User,42,2,Lower-Mid,Email,0.694
C000247,7/24/2022,Barishal,Business Buyer,29,3,Upper-Mid,Organic,0.872
C000248,4/28/2024,Rangpur,End-User,47,2,Upper-Mid,Organic,0.784
C000249,8/14/2022,Dhaka,End-User,34,2,Mid,Paid Search,0.745
C000250,8/25/2024,Khulna,End-User,44,5,Lower-Mid,Facebook,0.405
C000251,7/29/2023,Dhaka,Renter-to-Owner,27,4,Upper-Mid,Referral,0.763
C000252,5/5/2024,Dhaka,End-User,27,4,Upper-Mid,Paid Search,0.492
C000253,11/10/2023,Sylhet,End-User,35,5,Mid,Facebook,0.501
C000254,10/11/2022,Khulna,Renter-to-Owner,38,4,Mid,Referral,0.669
C000255,10/4/2023,Sylhet,Investor,32,2,Lower-Mid,Email,0.643
C000256,10/20/2022,Dhaka,End-User,37,5,Lower-Mid,Paid Search,0.538
C000257,5/7/2022,Mymensingh,End-User,39,2,High,Broker Network,0.801
C000258,9/29/2022,Mymensingh,Business Buyer,21,3,Mid,Marketplace,0.738
C000259,10/21/2022,Chattogram,Renter-to-Owner,31,4,Low,Facebook,0.326
C000260,5/24/2022,Rangpur,Investor,29,4,Lower-Mid,Facebook,0.636
C000261,1/26/2022,Dhaka,Renter-to-Owner,30,1,Lower-Mid,Organic,0.611
C000262,10/3/2024,Sylhet,Renter-to-Owner,38,2,,Broker Network,0.713
C000263,7/2/2023,Rangpur,End-User,29,4,High,Email,0.733
C000264,3/5/2023,Barishal,End-User,18,3,,Organic,0.421
C000265,9/18/2024,Barishal,Investor,32,5,Lower-Mid,Email,0.761
C000266,8/28/2022,Chattogram,End-User,24,5,Upper-Mid,Organic,0.663
C000267,3/6/2023,Barishal,End-User,38,2,Low,Email,0.431
C000268,6/21/2024,Sylhet,Renter-to-Owner,41,4,Lower-Mid,Facebook,0.539
C000269,11/5/2023,Dhaka,End-User,18,6,Mid,Paid Search,0.502
C000270,3/2/2023,Dhaka,End-User,27,4,Lower-Mid,Marketplace,0.389
C000271,9/30/2022,Barishal,End-User,37,3,Lower-Mid,Referral,0.527
C000272,2/7/2022,Rajshahi,End-User,21,5,Mid,Organic,0.565
C000273,4/1/2022,Khulna,Investor,41,3,High,Broker Network,0.82
C000274,6/22/2022,Rangpur,End-User,43,5,Upper-Mid,Organic,0.738
C000275,4/18/2024,Rajshahi,Investor,33,3,Low,Marketplace,0.606
C000276,11/13/2023,Chattogram,End-User,27,3,Mid,Organic,0.541
C000277,4/8/2023,Chattogram,End-User,18,5,,Facebook,0.453
C000278,4/14/2024,Rajshahi,Renter-to-Owner,41,4,Lower-Mid,Facebook,0.539
C000279,6/21/2022,Barishal,Investor,52,4,Lower-Mid,Facebook,0.77
C000280,8/13/2022,Khulna,End-User,50,1,Mid,Facebook,0.602
C000281,2/23/2023,Khulna,End-User,32,3,Lower-Mid,Facebook,0.526
C000282,9/4/2024,Sylhet,Investor,24,5,Upper-Mid,Broker Network,0.836
C000283,10/17/2023,Sylhet,Investor,42,3,Low,Organic,0.663
C000284,6/26/2024,Rangpur,End-User,33,5,Low,Broker Network,0.399
C000285,9/22/2022,Dhaka,End-User,38,4,Upper-Mid,Organic,0.622
C000286,6/23/2024,Barishal,Business Buyer,37,3,Upper-Mid,Email,0.786
C000287,3/19/2022,Khulna,Investor,35,5,Lower-Mid,Broker Network,0.621
C000288,8/31/2022,Dhaka,Renter-to-Owner,43,3,Mid,Broker Network,0.59
C000289,7/12/2023,Sylhet,End-User,44,3,Upper-Mid,Paid Search,0.584
C000290,2/23/2022,Sylhet,End-User,29,3,Lower-Mid,Email,0.443
C000291,7/3/2024,Khulna,End-User,26,4,Mid,Referral,0.618
C000292,7/13/2024,Barishal,Business Buyer,18,5,Mid,Marketplace,0.495
C000293,8/1/2023,Chattogram,End-User,31,2,Lower-Mid,Organic,0.435
C000294,11/22/2022,Dhaka,Renter-to-Owner,24,5,High,Broker Network,0.936
C000295,4/16/2022,Chattogram,End-User,38,4,High,Referral,0.779
C000296,10/22/2023,Chattogram,Renter-to-Owner,31,4,Mid,Marketplace,0.645
C000297,7/28/2023,Sylhet,Business Buyer,32,7,Low,Facebook,0.513
C000298,3/21/2024,Rangpur,Business Buyer,41,3,Upper-Mid,Paid Search,0.741
C000299,10/5/2023,Sylhet,End-User,38,2,,Email,0.489
C000300,5/17/2022,Dhaka,Renter-to-Owner,33,4,Low,Paid Search,0.396
C000301,5/10/2022,Chattogram,Investor,49,4,Mid,Broker Network,0.937
C000302,4/12/2024,Dhaka,End-User,41,5,Mid,Paid Search,0.497
C000303,6/19/2022,Sylhet,End-User,30,3,Low,Marketplace,0.498
C000304,9/27/2024,Dhaka,End-User,31,3,Lower-Mid,Facebook,0.397
C000305,4/23/2022,Khulna,End-User,41,2,Upper-Mid,Paid Search,0.594
C000306,2/16/2024,Barishal,Investor,36,2,High,Email,0.926
C000307,11/5/2024,Sylhet,End-User,24,3,Lower-Mid,Organic,0.496
C000308,4/16/2023,Dhaka,Investor,42,4,Low,Organic,0.555
C000309,3/2/2022,Chattogram,End-User,45,6,Lower-Mid,Email,0.469
C000310,7/23/2024,Rajshahi,Renter-to-Owner,45,1,Mid,Paid Search,0.492
C000311,7/19/2022,Khulna,Renter-to-Owner,48,4,Lower-Mid,Organic,0.609
C000312,7/17/2023,Dhaka,Renter-to-Owner,53,3,Mid,Facebook,0.608
C000313,11/15/2024,Rangpur,Renter-to-Owner,50,4,Low,Paid Search,0.498
C000314,3/4/2024,Khulna,End-User,37,3,Upper-Mid,Marketplace,0.57
C000315,2/19/2022,Chattogram,End-User,32,5,Upper-Mid,Email,0.699
C000316,5/24/2024,Dhaka,End-User,18,5,Upper-Mid,Email,0.674
C000317,6/21/2022,Chattogram,Investor,34,4,Lower-Mid,Email,0.68
C000318,3/9/2024,Chattogram,End-User,39,6,Mid,Email,0.718
C000319,10/24/2023,Dhaka,Renter-to-Owner,34,5,Lower-Mid,Paid Search,0.558
C000320,11/3/2022,Khulna,End-User,18,6,Lower-Mid,Referral,0.493
C000321,3/28/2023,Chattogram,Renter-to-Owner,31,4,Mid,Marketplace,0.723
C000322,5/6/2022,Rangpur,Investor,40,5,Upper-Mid,Referral,0.941
C000323,11/17/2024,Mymensingh,Renter-to-Owner,25,3,,Marketplace,0.822
C000324,9/12/2022,Dhaka,End-User,35,3,Lower-Mid,Email,0.322
C000325,11/26/2022,Dhaka,Renter-to-Owner,38,7,Mid,Organic,0.646
C000326,6/21/2023,Barishal,End-User,44,2,Lower-Mid,Facebook,0.406
C000327,12/18/2023,Mymensingh,End-User,49,3,Mid,Paid Search,0.389
C000328,6/23/2023,Rangpur,End-User,31,1,Lower-Mid,Email,0.483
C000329,6/23/2023,Dhaka,End-User,36,3,Upper-Mid,Marketplace,0.58
C000330,9/14/2023,Dhaka,End-User,36,2,Upper-Mid,Facebook,0.44
C000331,7/3/2024,Dhaka,End-User,40,3,Lower-Mid,Organic,0.449
C000332,2/26/2023,Rangpur,End-User,39,4,Upper-Mid,Paid Search,0.731
C000333,6/6/2024,Rajshahi,Business Buyer,47,4,Mid,Organic,0.803
C000334,4/18/2024,Khulna,End-User,18,2,Mid,Facebook,0.463
C000335,10/21/2024,Khulna,End-User,38,3,Mid,Marketplace,0.471
C000336,8/31/2024,Dhaka,Renter-to-Owner,38,5,Lower-Mid,Paid Search,0.589
C000337,4/30/2024,Rajshahi,End-User,32,6,Lower-Mid,Broker Network,0.333
C000338,9/21/2022,Dhaka,Renter-to-Owner,18,5,Low,Email,0.507
C000339,4/5/2024,Rajshahi,End-User,33,2,Mid,Email,0.413
C000340,2/25/2024,Sylhet,End-User,28,5,Lower-Mid,Organic,0.641
C000341,11/5/2022,Sylhet,Investor,49,6,Mid,Paid Search,0.793
C000342,12/24/2023,Chattogram,Investor,,1,Upper-Mid,Paid Search,0.672
C000343,9/27/2022,Rangpur,End-User,27,5,Mid,Paid Search,0.51
